gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
AC002558.2	0	0.039401	0.075303	0	0
AC002558.3	0	0	0.042127	0.055218	0.082311
AC002563.1	0.071393	0	0.037457	0	0.036593
AC003001.1	0.014184	0	0.014884	0	0
AC003003.5	0.005754	0.094771	0.006038	0.023741	0.017695
AC003005.2	0.072737	0.199675	0.254414	0.066693	0.546801
AC003009.1	0	0	0	0	0
AC003035.1	0.35513	0	0.527908	0.040703	0.151686
AC003035.2	0	0	0.072815	0	0
AC003043.2	0	0	0	0	0
AC003070.1	0.281825	0.232095	0.554477	1.647344	0.325013
AC003070.2	0	0	0	0	0
AC003084.1	0.03701	0	0	0	0
AC003087.1	0	0	0	0	0
AC003092.1	0	0.024922	0	0.083241	0
AC003092.2	0.036097	0	0	0	0
AC003098.1	0	0	0	0	0
AC003101.1	0.035075	0	0	0.09648	0.07191
AC003101.2	0.546354	0	0.03822	0.400764	0.858776
AC003102.1	1.504302	0.158152	0.4366	1.045483	1.67331
AC003659.1	0	0	0	0	0
AC003666.1	0	0	0	0	0
AC003681.1	0.054549	0.050035	0.080546	0.065591	0.044199
AC003682.1	0	0	0.07313	0	0.500104
AC003684.1	0	0	0	0	0
AC003685.1	0	0	0	0	0
AC003687.1	0	0	0	0	0
AC003688.3	0	0	0	0	0
AC003956.1	2.080238	0.074485	0.142357	0.124395	0.509938
AC003958.2	0.039585	0	0.037383	0.005444	0.016232
AC003965.1	2.196447	0.437309	0.683827	0.431558	1.237139
AC003965.2	0.303759	0.400254	0.701221	0.167111	1.120988
AC003973.1	0	0	0	0	0
AC003973.5	0	0	0	0	0
AC003975.1	0	0	0	0	0
AC003982.1	0	0	0	0	0
AC003984.1	0	0	0	0	0
AC003985.1	0	0	0	0	0
AC003986.1	0	0.034753	0	0	0
AC003986.2	0.075274	0.077489	0.069112	0.012941	0.829512
AC003986.3	0.023265	0.114957	0	0.063995	0.715467
AC003988.1	0	0	0	0.038308	0
AC003991.1	0.006655	0.021924	0	0.022884	0.231962
AC003991.2	0.08385	0.046036	0	0.038441	0.114607
AC004000.1	0.037181	0.06124	0.039014	0.051137	0.076228
AC004009.1	0	0	0	0	0
AC004012.1	0.331632	0	0.031635	0	0.030905
AC004014.1	0	0	0	0	0
AC004023.1	0.046156	0	0	0	0.056778
AC004034.1	0.252537	0.051994	0.099371	0.303913	0.258877
AC004039.1	0.116987	0.074111	0.132198	0.049508	0.147599
AC004052.1	0	0	0	0	0
AC004053.1	0	0	0.323172	0.038508	0
AC004054.1	0	0	0	0	0
AC004057.1	0.064656	0	0.203531	0.177849	0.033139
AC004063.1	0	0	0.061766	0	0
AC004066.2	0.422183	0.278148	0.561133	0	0.086556
AC004067.1	0.252988	1.136435	0.434393	0.980585	0.589408
AC004069.1	0.117299	0.0483	0.215394	0.161328	0.150305
AC004076.2	0.247084	0.287272	0.254184	0.166583	1.415431
AC004080.1	0	0	0.200842	0	0
AC004080.2	0	0.047692	0.09115	0	0
AC004080.4	0.025433	0	0	0	0
AC004080.5	0	0	0	0	0
AC004080.6	0.035036	0	0	0	0
AC004083.1	0	0.137631	0.029227	0	0
AC004112.1	0.318797	0.300049	0.430092	0.281867	0.046686
AC004130.2	4.330262	0.621488	0.094269	0.271835	0.681503
AC004147.1	0	0	0	0	0
AC004147.2	0	0	0	0	0
AC004147.3	0	0	0	0	0
AC004147.4	0	0	0.031576	0	0.863731
AC004147.5	0	0	0	0	0
AC004148.1	0.664571	0.506255	0.679906	0.811196	2.71651
AC004156.1	0.102652	0.042269	0.394949	0.247071	0.236766
AC004158.1	0.003065	0.005048	0	0	0
AC004160.1	0.142219	0.243617	0.149232	0.043033	0.017495
AC004160.2	0.114382	0.094198	0.030005	0.078658	0.029313
AC004217.1	0	0	0	0	0
AC004221.1	0.324274	0.031418	0.240186	0.655872	0
AC004223.2	0.118377	0	0	0.162811	0.091012
